DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature
2015-01-01T00:51:00,-2,0.00,83,CLR:00,10.00,2,1
2015-01-01T01:51:00,-5,0.00,82,CLR:00,10.00,-1,-2
2015-01-01T02:51:00,-3,0.00,80,CLR:00,10.00,2,1
2015-01-01T03:51:00,-5,0.00,75,CLR:00,10.00,1,0
2015-01-01T04:51:00,-4,0.00,79,CLR:00,10.00,1,0
2015-01-01T05:51:00,-6,0.00,83,CLR:00,10.00,-2,-3
2015-01-01T06:51:00,-5,0.00,75,CLR:00,10.00,1,0
2015-01-01T07:51:00,-4,0.00,83,CLR:00,10.00,0,-1
2015-01-01T08:51:00,-4,0.00,79,CLR:00,10.00,1,0
2015-01-01T09:51:00,0,0.00,76,CLR:00,10.00,6,5
2015-01-01T10:51:00,1,0.00,76,CLR:00,10.00,7,6
2015-01-01T11:51:00,2,0.00,67,CLR:00,10.00,11,9
2015-01-01T12:51:00,1,0.00,64,CLR:00,10.00,11,9
2015-01-01T13:51:00,0,0.00,56,CLR:00,10.00,13,10
2015-01-01T14:51:00,2,0.00,56,CLR:00,10.00,15,12
2015-01-01T15:51:00,2,0.00,56,CLR:00,10.00,15,12
2015-01-01T16:51:00,3,0.00,64,CLR:00,10.00,13,11
2015-01-01T17:51:00,4,0.00,67,CLR:00,10.00,13,11
2015-01-01T18:51:00,4,0.00,67,CLR:00,10.00,13,11
2015-01-01T19:51:00,5,0.00,73,CLR:00,10.00,12,10
2015-01-01T20:51:00,4,0.00,76,CLR:00,10.00,10,9
2015-01-01T21:51:00,3,0.00,77,CLR:00,10.00,9,8
2015-01-01T22:51:00,2,0.00,83,CLR:00,10.00,6,5
2015-01-01T23:51:00,0,0.00,79,CLR:00,10.00,5,4
2015-01-01T23:59:00,,,,,,,
2015-01-02T00:51:00,0,0.00,79,CLR:00,10.00,5,4
2015-01-02T01:51:00,1,0.00,79,CLR:00,10.00,6,5
2015-01-02T02:51:00,0,0.00,83,CLR:00,10.00,4,3
2015-01-02T03:51:00,1,0.00,83,CLR:00,9.00,5,4
2015-01-02T04:51:00,0,0.00,79,CLR:00,10.00,5,4
2015-01-02T05:51:00,1,0.00,79,CLR:00,9.00,6,5
2015-01-02T06:51:00,-1,0.00,88,CLR:00,8.00,2,1
2015-01-02T07:51:00,-1,0.00,83,CLR:00,9.00,3,2
2015-01-02T08:51:00,0,0.00,87,CLR:00,6.00,3,2
2015-01-02T09:51:00,4,0.00,83,CLR:00,8.00,8,7
2015-01-02T10:51:00,3,0.00,77,CLR:00,10.00,9,8
2015-01-02T11:51:00,4,0.00,70,CLR:00,10.00,12,10
2015-01-02T12:51:00,5,0.00,67,CLR:00,10.00,14,12
2015-01-02T13:51:00,6,0.00,65,CLR:00,10.00,16,13
2015-01-02T14:51:00,7,0.00,62,CLR:00,10.00,18,15
2015-01-02T15:51:00,8,0.00,65,CLR:00,10.00,18,15
2015-01-02T16:51:00,8,0.00,65,CLR:00,10.00,18,15
2015-01-02T17:51:00,8,0.00,77,CLR:00,10.00,14,12
2015-01-02T18:51:00,8,0.00,77,SCT:04 90,10.00,14,12
2015-01-02T19:51:00,8,0.00,77,OVC:08 85,10.00,14,12
2015-01-02T20:51:00,10,0.00,77,SCT:04 43 OVC:08 85,10.00,16,14
