DATE,HourlyRelativeHumidity,HourlyVisibility,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyWetBulbTemperature,SolarRadiance,PVPower
1/1/2015 0:30,83,10,-2,2,1,0,0
1/1/2015 1:00,82.5,10,-3.5,0.5,-0.5,0.0001,0
1/1/2015 1:30,82,10,-5,-1,-2,0.0001,0
1/1/2015 2:00,81,10,-4,0.5,-0.5,0.0003,0
1/1/2015 2:30,80,10,-3,2,1,0,0
1/1/2015 3:00,77.5,10,-4,1.5,0.5,0,0
1/1/2015 3:30,75,10,-5,1,0,0,0
1/1/2015 4:00,77,10,-4.5,1,0,0,0
1/1/2015 4:30,79,10,-4,1,0,0,0
1/1/2015 5:00,81,10,-5,-0.5,-1.5,0,0
1/1/2015 5:30,83,10,-6,-2,-3,0,0
1/1/2015 6:00,79,10,-5.5,-0.5,-1.5,0,0
1/1/2015 6:30,75,10,-5,1,0,0,0
1/1/2015 7:00,79,10,-4.5,0.5,-0.5,0.0071,0
1/1/2015 7:30,83,10,-4,0,-1,1.7257,0
1/1/2015 8:00,81,10,-4,0.5,-0.5,9.65,0
1/1/2015 8:30,79,10,-4,1,0,17.067,0
1/1/2015 9:00,77.5,10,-2,3.5,2.5,71.218,0
1/1/2015 9:30,76,10,0,6,5,45.614,222.8440265
1/1/2015 10:00,76,10,0.5,6.5,5.5,37.761,429.125824
1/1/2015 10:30,76,10,1,7,6,107.874,750.6137545
1/1/2015 11:00,71.5,10,1.5,9,7.5,400.04,1072.101685
1/1/2015 11:30,67,10,2,11,9,431.33,1164.864075
1/1/2015 12:00,65.5,10,1.5,11,9,445.84,1257.626465
1/1/2015 12:30,64,10,1,11,9,444.1,957.6309205
1/1/2015 13:00,60,10,0.5,12,9.5,429.65,657.635376
1/1/2015 13:30,56,10,0,13,10,404.22,776.074066
1/1/2015 14:00,56,10,1,14,11,134.222,894.512756
1/1/2015 14:30,56,10,2,15,12,201.594,726.428558
1/1/2015 15:00,56,10,2,15,12,122.506,558.34436
1/1/2015 15:30,56,10,2,15,12,49.076,472.5338135
1/1/2015 16:00,60,10,2.5,14,11.5,26.913,386.723267
1/1/2015 16:30,64,10,3,13,11,15.077,211.074158
1/1/2015 17:00,65.5,10,3.5,13,11,3.5866,35.425049
1/1/2015 17:30,67,10,4,13,11,0.0738,17.7125245
1/1/2015 18:00,67,10,4,13,11,0.003,0
1/1/2015 18:30,67,10,4,13,11,0.003,0
1/1/2015 19:00,70,10,4.5,12.5,10.5,0.003,0
1/1/2015 19:30,73,10,5,12,10,0.0031,0
1/1/2015 20:00,74.5,10,4.5,11,9.5,0.003,0
1/1/2015 20:30,76,10,4,10,9,0.003,0
1/1/2015 21:00,76.5,10,3.5,9.5,8.5,0.003,0
