DATE,HourlyRelativeHumidity,HourlyVisibility,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyWetBulbTemperature,SolarRadiance,PVPower
1/1/2015 0:00,83,10,-2,2,1,0,0
1/1/2015 1:00,82,10,-5,-1,-2,0.0001,0
1/1/2015 2:00,80,10,-3,2,1,0.00015,0
1/1/2015 3:00,75,10,-5,1,0,0,0
1/1/2015 4:00,79,10,-4,1,0,0,0
1/1/2015 5:00,83,10,-6,-2,-3,0,0
1/1/2015 6:00,75,10,-5,1,0,0,0
1/1/2015 7:00,83,10,-4,0,-1,0.8664,0
1/1/2015 8:00,79,10,-4,1,0,13.3585,0
1/1/2015 9:00,76,10,0,6,5,58.416,16.562229
1/1/2015 10:00,76,10,1,7,6,72.8175,429.125824
1/1/2015 11:00,67,10,2,11,9,415.685,1072.101685
1/1/2015 12:00,64,10,1,11,9,444.97,1257.626465
1/1/2015 13:00,56,10,0,13,10,416.935,657.635376
1/1/2015 14:00,56,10,2,15,12,167.908,894.512756
1/1/2015 15:00,56,10,2,15,12,85.791,558.34436
1/1/2015 16:00,64,10,3,13,11,20.995,386.723267
1/1/2015 17:00,67,10,4,13,11,1.8302,35.425049
1/1/2015 18:00,67,10,4,13,11,0.003,0
1/1/2015 19:00,73,10,5,12,10,0.00305,0
1/1/2015 20:00,76,10,4,10,9,0.003,0
1/1/2015 21:00,77,10,3,9,8,0.003,0
1/1/2015 22:00,83,10,2,6,5,0.0033,0
1/1/2015 23:00,79,10,0,5,4,0.00315,0
1/2/2015 0:00,79,10,0,5,4,0.003,0
1/2/2015 1:00,79,10,1,6,5,0.003,0
1/2/2015 2:00,83,10,0,4,3,0.00305,0
1/2/2015 3:00,83,9,1,5,4,0.003,0
1/2/2015 4:00,79,10,0,5,4,0.003,0
1/2/2015 5:00,79,9,1,6,5,0.003,0
1/2/2015 6:00,88,8,-1,2,1,0.003,0
1/2/2015 7:00,83,9,-1,3,2,0.88515,0
1/2/2015 8:00,87,6,0,3,2,13.1862,0
1/2/2015 9:00,83,8,4,8,7,58.874,0
1/2/2015 10:00,77,10,3,9,8,72.2455,374.48233
1/2/2015 11:00,70,10,4,12,10,402.37,1015.677612
1/2/2015 12:00,67,10,5,14,12,432.505,1307.238281
1/2/2015 13:00,65,10,6,16,13,409.155,840.398499
1/2/2015 14:00,62,10,7,18,15,166.6495,1056.084839
1/2/2015 15:00,65,10,8,18,15,90.9965,563.999878
1/2/2015 16:00,65,10,8,18,15,22.56,401.916779
