Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.967360403,1/2/2017,12,1.00,1.85,6.97,6.90,98.24,10.92,29.18,29.97,449.25,,
0.367134891,2/7/2016,9,0.00,10,3.96,-0.61,70.20,17.96,29.12,29.91,3165.5,,
0.459160741,2/22/2016,9,0.04,10,2.99,-1.34,71.04,10.57,29.37,30.17,2637,,
0.728088357,10/3/2017,8,1.00,10,21.60,17.14,72.80,11.84,29.53,30.33,710.25,,
0.712037478,2/27/2017,7,1.00,10,2.75,0.70,85.40,6.64,29.37,30.17,680.5,,
0.408921681,5/25/2016,6,0.00,10,20.08,17.37,86.04,8.04,29.26,30.05,273.95,,
0.74790769,4/25/2017,13,0.00,10,26.22,9.53,32.68,19.68,28.85,29.63,4692,,
0.529559481,6/23/2016,10,0.53,10,30.03,24.38,69.92,9.48,29.09,29.88,3000,,
0.052861295,5/28/2017,14,0.73,10,25.62,16.38,55.28,17.20,28.97,29.76,3040.5,,
0.718803203,4/11/2016,7,0.45,7.97,10.10,8.58,88.27,10.18,29.1,29.89,297.75,,
0.100624775,10/10/2016,10,0.00,10,20.94,10.20,49.96,3.96,29.55,30.35,3481.25,,
0.366120395,6/19/2016,17,0.14,10,31.03,21.62,54.56,7.40,29.36,30.16,1913.5,,
0.539776519,9/18/2016,17,0.00,10,26.77,12.52,38.80,0.96,29.17,29.96,1115.5,,
0.944854732,4/20/2016,14,0.99,10,18.91,12.68,66.12,12.60,29.21,30,1166.25,,
0.441074412,3/14/2016,15,0.92,10,14.27,12.51,83.96,6.64,28.92,29.7,1068.5,,
0.916603888,6/19/2017,8,0.43,10,23.35,16.43,65.60,10.32,29.11,29.9,784,,
0.854011911,9/19/2016,14,0.00,10,30.46,11.92,30.40,9.72,29.25,30.04,4069.5,,
0.228569123,5/24/2016,9,0.00,10,26.00,11.90,38.36,11.16,29.25,30.04,3056,,
