Date,PVPower, Home_av_pw 2, time, day,
1/1/2017  01:00,0,445.711365, 01:00,1,17
1/1/2017  02:00,0,403.277008, 02:00,1,17
1/1/2017  03:00,0,428.326965, 03:00,1,17
1/1/2017  04:00,0,396.58493, 04:00,1,17
1/1/2017  05:00,0,362.66806, 05:00,1,17
1/1/2017  06:00,0,415.424744, 06:00,1,17
1/1/2017  07:00,0,515.139893, 07:00,1,17
1/1/2017  08:00,0,689.98645, 08:00,1,17
1/1/2017  09:00,0,586.284241, 09:00,1,17
1/1/2017  10:00,0,631.796509, 10:00,1,17
1/1/2017  11:00,268.748108,731.820801, 11:00,1,17
1/1/2017  12:00,568.274536,1101.668213, 12:00,1,17
1/1/2017  13:00,190.845718,494.796753, 13:00,1,17
1/1/2017  14:00,401.486816,581.024048, 14:00,1,17
1/1/2017  15:00,100.570488,914.06665, 15:00,1,17
1/1/2017  16:00,0,648.372498, 16:00,1,17
1/1/2017  16:59,0,488.884705, 16:59,1,17
1/1/2017  17:59,0,524.650574, 17:59,1,17
1/1/2017  18:59,0,577.431763, 18:59,1,17
1/1/2017  19:59,0,537.003418, 19:59,1,17
1/1/2017  20:59,0,676.027222, 20:59,1,17
1/1/2017  21:59,0,654.226563, 21:59,1,17
1/1/2017  22:59,0,728.245728, 22:59,1,17
1/1/2017  23:59,0,369.742523, 23:59,1,17
1/2/2017  00:59,0,398.365021, 00:59,2,17
1/2/2017  01:59,0,313.038513, 01:59,2,17
1/2/2017  02:59,0,409.716431, 02:59,2,17
1/2/2017  03:59,0,404.106537, 03:59,2,17
1/2/2017  04:59,0,348.803284, 04:59,2,17
1/2/2017  05:59,0,362.267395, 05:59,2,17
1/2/2017  06:59,0,368.376648, 06:59,2,17
1/2/2017  07:59,0,1014.914978, 07:59,2,17
1/2/2017  08:59,0,528.577026, 08:59,2,17
1/2/2017  09:59,0,627.218994, 09:59,2,17
1/2/2017  10:59,160.865128,579.719421, 10:59,2,17
1/2/2017  11:59,320.143524,677.752136, 11:59,2,17
1/2/2017  12:59,359.649933,675.444885, 12:59,2,17
1/2/2017  13:59,594.201599,476.81427, 13:59,2,17
1/2/2017  14:59,833.155151,413.187073, 14:59,2,17
1/2/2017  15:59,114.662193,422.193665, 15:59,2,17
1/2/2017  16:59,0,456.56311, 16:59,2,17
1/2/2017  17:59,0,587.443787, 17:59,2,17
1/2/2017  18:59,0,595.064758, 18:59,2,17
1/2/2017  19:59,0,500.468689, 19:59,2,17
1/2/2017  20:59,0,506.250153, 20:59,2,17
1/2/2017  21:59,0,713.216797, 21:59,2,17
1/2/2017  22:59,0,550.220947, 22:59,2,17
1/2/2017  23:59,0,495.179138, 23:59,2,17
1/3/2017  00:59,0,503.887695, 00:59,3,17
1/3/2017  01:59,0,397.133118, 01:59,3,17
1/3/2017  02:59,0,396.503784, 02:59,3,17
1/3/2017  03:59,0,343.126587, 03:59,3,17
1/3/2017  04:59,0,348.441193, 04:59,3,17
1/3/2017  05:59,0,419.967499, 05:59,3,17
1/3/2017  06:59,0,358.807983, 06:59,3,17
1/3/2017  07:59,0,406.049408, 07:59,3,17
1/3/2017  08:59,0,357.192291, 08:59,3,17
1/3/2017  09:59,28.677145,425.722595, 09:59,3,17
1/3/2017  10:59,12.646022,814.254089, 10:59,3,17
1/3/2017  11:59,329.13797,940.739563, 11:59,3,17
1/3/2017  12:59,27.207376,431.628113, 12:59,3,17
1/3/2017  13:59,278.112396,331.436432, 13:59,3,17
1/3/2017  14:59,437.512238,607.36322, 14:59,3,17
1/3/2017  15:59,0,1832.357422, 15:59,3,17
1/3/2017  16:59,0,2013.774048, 16:59,3,17
1/3/2017  17:59,0,1764.177002, 17:59,3,17
1/3/2017  18:59,0,911.944519, 18:59,3,17
1/3/2017  19:59,0,779.014709, 19:59,3,17
1/3/2017  20:59,0,792.782166, 20:59,3,17
1/3/2017  21:59,0,793.759827, 21:59,3,17
1/3/2017  22:59,0,573.109192, 22:59,3,17
1/3/2017  23:59,0,427.156464, 23:59,3,17
1/4/2017  00:59,0,574.122681, 00:59,4,17
1/4/2017  01:59,0,372.842163, 01:59,4,17
1/4/2017  02:59,0,418.055328, 02:59,4,17
1/4/2017  03:59,0,449.804565, 03:59,4,17
1/4/2017  04:59,0,343.731812, 04:59,4,17
1/4/2017  05:59,0,476.702209, 05:59,4,17
1/4/2017  06:59,0,446.527802, 06:59,4,17
1/4/2017  07:59,0,1186.952759, 07:59,4,17
1/4/2017  08:59,0,1236.526611, 08:59,4,17
1/4/2017  09:59,0,457.572113, 09:59,4,17
1/4/2017  10:59,0,562.66394, 10:59,4,17
1/4/2017  11:59,0,364.314911, 11:59,4,17
1/4/2017  12:59,0,431.867126, 12:59,4,17
1/4/2017  13:59,0,454.432465, 13:59,4,17
1/4/2017  14:59,0,786.381226, 14:59,4,17
1/4/2017  15:59,0,1233.295654, 15:59,4,17
1/4/2017  16:59,0,1829.423828, 16:59,4,17
1/4/2017  17:59,0,2112.679932, 17:59,4,17
1/4/2017  18:59,0,2107.838135, 18:59,4,17
1/4/2017  19:59,0,1845.536499, 19:59,4,17
1/4/2017  20:59,0,773.442627, 20:59,4,17
